page	mende	english	alternate	pixel_height	col
46	P__	Earth/mud		952	
46	P__ vei	Earthen pot		1016	
46	Fei	Pot		1068	
46	T_kp_	Palm tree		1192	
46	T_kp_ yasei	Palm branch		1256	
46	Jasei	Thatch		1308	
46	Ngi kpandil_	I heated it		1604	
46	Ngi jei gbandil_	I heated the water		1664	
46	Bi nguanilo	You washed (it)		1776	
46	Bi kluei wuanil_	You washed the clohtes		1836	
46	Mundewenil_	We beat (it)		1960	
46	Mu ndoi lewenil_	We beat the child		2016	
46	Kplanga	Near		2300	
46	Lo kplanga	Stand near (it)		2360	
46	Lo p_l_i gblanga	Stand near the house		2424	
46	Poma	Behind		2536	
46	Hi poma	Sit behind (it)		2596	
46	Hi ngi woma	Sit behind him/her		2660	
46	Kakama	By the side		2776	
46	Nda kakama	Place (it) by the side		2828	
46	Nda kpukue gakama	Place it by the side of the bed		2892	
46	P_l_ l_li	Black house		3176	
46	Numu gutu	Short person		3240	
48	"Ndake, gbei bi ya ha k_y_?"	"Friend, why are you so dull today?"		724	
48	Nya gahun mia ii gbue	I am not feeling well		840	
48	Gb__ bi ma?	What is wrong with you?		964	
48	Nya gahuin gbi mia a gbaa kpaa. Nya wui a gbal_ k_ nya gbl_gei jia gbi. K_lei b_ a wu nya ma.	I have pains all over my body. My head aches as well as my joints. I also feel feverish.		1024	
48	K_nga gbeloi mia b_hin. Gbena hoe. Be li ba d_kta l_ haiw_bu?	Perhaps it is malaria. Have my sympathy. Why not go and see the doctor in the hospital?		1312	
48	Nga li l_ sina w_idihun	I will go to the hospital tomorrow		1560	
48	Ngew_ I bi hale	May the Lord cure you		1728	
48	Amina. Mal_ sina	See you tomorrow		1792	
48	Nya hingb_g_	I am sick/I am not feeling well		2084	
48	Ngew_ I bi bao	May the Lord cure you		2140	
48	Nya goihun a gbini	I have a gripe in the stomach		2440	
48	Nya goihun a le	I have frequent stool		2492	
48	N_huin mia gbia nya luma	I have scabbies on my skin		2552	
48	Kanyei mia nya ma	I have gonnorhea		2616	
48	Bumblei mia ngi g_weima	I have elephantiasis		2664	
48	Nya yami mia a gbale	My eye is aching		2788	
48	Fei mia laa nya ma	I have a boil		2840	
48	Kohun gbal_ hale l_ bi yeya?	Do you have any medicine for stomach ache		2964	
49	Gbeloe	Malaria		680	
49	Kp_kp__	Cripple/lame		744	
49	Ny_ny_	Measles		804	
49	T_h_n bei	Tuberculosis		860	
49	T_t_h	Small pox		916	
49	Bandahei/Bumbulei	Elephantiasis		976	
49	Luaa	Hernia		1044	
49	Fundii	Asthma		1096	
49	Vio l_h_n	Whooping cough		1156	
49	Kanyii	Gonnorhea		1216	
49	N_huin	Scabbies		1272	
49	Puumui	Blindness		1332	
49	Malete	Leprosy		1392	
49	Kpal_mei	Sore		1448	
49	Geli	Ulcer		1512	
49	Bobui	Small pox		1572	
49	P_ni	Ringworm		1632	
49	Sugbui	Body wide scabbies		1684	
49	Ndivui	Small boil		1744	
49	Fehani	Tumour		1804	
49	Gbeli	Blue boil		1860	
49	Kaalei	Abcess muscular contraction		1916	
49	Kpoli	A worm of any kind		2036	
49	Gbale (v)	To pain		2096	
49	Bali (v)	To vomi		2156	
49	Kale hingbe	Rheumantism		2212	
49	Njii hingbe	Sleeping sickness		2272	
49	Popui	Skin diseases leaving white patches		2328	
49	Kewei	Yaws		2444	
51	Ng_ biana	Afternoon elder brother		1184	
51	"Mm, ndake bi si_"	Hello youngman		1236	
51	Gb_ voo l_ a ha?	What day is today?		1352	
51	"Ha t_n_, ta bi tua b_ fui gbuamaa ha wa"	"Today is Monday, and it looks like its's going to be a sunny day"		1412	
51	"__, ngevuihun fui a gbua wa, taa nja e wa lee"	"That's right, in the the dry season it hardly rains"		1644	
51	Ngawu lol_ va mia ngevui a loo?	For how many months does the dry season last?		1816	
51	A loo ngawu weita val_. A l_to lugbu yawuihun l_ I gb_y_ Buwuihun	It lasts for six months. It starts in November and ends in April		1996	
51	"Mm, k_ na woma mia hami b__ a l_to?"	"Is it after that, that the rainy season starts?"		2228	
51	"_, hamihun ta jei a waa wati gbi. T_nga pen numu e ngu a j_sia a jifa jei a bi l_li l_"	"Yes, in the rainy season, it rains almost always. Infact sometimes no one is able to go out because you will get wet in the rain"		2404	
51	Foe a gbua waa nge vuihun	The sun shines brightly during the dry season		2932	
51	Ngau weita va mia a l_	It lasts for six months		3052	
52	T_n_	Monday		516	
52	Taata	Tuesday		572	
52	Alaba	Wednesday		632	
52	Aikamisa	Thursday		692	
52	Aijuma	Friday		752	
52	Sibiti	Saturday		804	
52	Lahadi	Sunday		872	
52	Ngawui gbinding_	The moon is dark		1164	
52	Migbe mia bi lima teihun?	When are you going to town?		1224	
52	Sibitima mia nga li teihun	I'll go to town on Saturday		1280	
52	Fui gbadi g_ waa ha	The sun is too hot today		1336	
52	K_lei l_ wama wa ha	The weather is too cold today		1404	
52	Bodui l_ waa wama	I'm feeling too hot today		1452	
52	Njei gbii ng_	It's cloudy - it may rain		1520	
52	Hawa	Hour		1804	
52	Ku	Day		1868	
52	L__	Day		1924	
52	Folo	Day/sun		1984	
52	Ngau	Month/moon		2040	
52	Hawa l__lu	Five hours		1804	
52	Ku fele	Two days		1868	
52	L__ sawa	Three days		1924	
52	Foo gbadi	Hot sun		1984	
52	Ngau puu	Ten months		2040	
52	Ngewohuin	At day break		2160	
52	Ngawui gbindig_	The moon is dark		2216	
52	Ngenda vui	Morning sun		2268	
52	Foe gbiaa	At sunrise/when the sun is up		2332	
52	Foe hingegoihun	At sunrise		2384	
52	Foo ngundie	noon		2444	
52	Kp_k_ voe	Afternoon/evening		2504	
52	Kpindi liei	Midnight		2564	
52	Jia floflo	Walk quickly		2972	
52	Baa jia y_l_n	Don't walk slowly		3032	
52	Wa siahuna	Come now		3088	
52	Na mia ngi lii na	It is there I went		3204	
52	Bendo mia ba pie ma	It is here you have to do it		3264	
52	Ha l_ I waa	It is today he came		3316	
53	Kaaka	Quickly		648	
53	Ngaungaun	"Arrogantly, proudly"		708	
53	Panda	"Cautiously, carefully"		764	
53	L_mb_l_/g_m_nd_	Sluggishly		820	
53	L__l_	Slowly		884	
53	Mbe	Here		944	
53	Sina	Tomorrow		1004	
53	Sange	Soon		1060	
53	Baaba	Foolishly		1112	
53	I ngeyei leweil_ kpe	He cut the rope…		1816	
53	Fendang_ kpa	It is completely full		1880	
53	Ngi m_nga nyao	I have eaten everything		1932	
53	Guii guleil_ gbu_	The tree fell…		1988	
53	Gbelei_	Sound like that of a bell		2816	
53	Polo_	"Far, very far"		2864	
54	Mi/mindo	Where?		444	
54	Migbe	When?		508	
54	Lol_	How many?		564	
54	Gbei	Why?		624	
54	Mindo mia bi lima na?	Where are you going to?		736	
54	Migbe mia bi wani nd__ jihun?	When did you come to this country?		800	
54	Lol_ mia bi m_ni?	How many did you eat?		924	
54	Gbei bi ngi h__ni?	Why did you stone him?		980	
54	Numu gbayang_ ya a nge	I am not a strong person		1336	
54	Numu gutu mia	He is a short person		1392	
54	Ndapo nyamui ya ha	The ugly child has gone today		1748	
54	Pee gbitii loe	Brush the bushy road		1804	
54	Tamba l_ lumbe lulei m_ma	Tamba is eating the rotten oranges		1868	
54	Mita goweisia mawa	Wash the white spoons		1980	
54	Nu wovangaa leke mia ti wani	Only old people came		2036	
54	Nyandeng_	He/she/it is beautiful		2272	
54	Ninang_	It is new		2332	
54	Govang_	It is old		2388	
54	T_ling_	It is black		2448	
54	Mahei mamuning_	The chief is proud/arrogant		2508	
54	Nyapoi nyand_ng_	The lady is beautiful		2568	
54	Ndomei l_ing_	The shirt is wet		2620	
54	Kena gutung_ii hanga	The short man has died		2916	
54	Baa ngengem_ hawang_i na g_	Don't give that lazy worker		2972	
54	Nika lileng_isia gb_	Drive the angry cows away		3032	
54	Masubama mia a ngie	He is a dangerous person		3268	
54	Nyamublaa kp__ ti gbua	Let all ugly people go out		3320	
54	Hawableisia ti ndei mia	That belongs to the lazy		3372	
55	Bi nyahin ii nyandeni	Your wife is not beautiful		608	
55	Ndomei na ii n_h_ni	The shirt is not dirty		660	
55	Ngii hawani	I am not lazy		724	
55	Nya le ngi pie ni	I did it (nya emphasised)		1360	
55	Yie mia wanga	It is mother who has come (yie emphasised)		1428	
55	Jo l_ wani	It was Joe who came (Jo emphasised)		1544	
55	Yie mia wanga?	Is it mother that has come?		2188	
55	"Mm, ta le"	"Yes, it is she"		2244	
55	Y__ p__ la?	Who is at the door		2308	
55	Nya le	I		2364	
55	Nyandeg_e	She is beautiful		2652	
55	Kutungoe	It is short		2708	
55	Kowengoe	It is white		2768	
56	K_k_ ii lini suku	Father didn't go to school		720	
56	Nyapoi ii nyamuni	The lady is not ugly		780	
56	Ngii mbei m_ni	I did not eat the rice		840	
56	Nu yekpe yaa nga	I'm not a good person		1252	
56	Nu nyamu ya tie	They are not bad people		1308	
56	I yaa wani l_	He hasn't come yet		1372	
56	M_ a loko	Eat with hand		1912	
56	Tee a mbowei	Cut it with the knife		1964	
56	Ndaala a kpaya	Draw it with strength		2028	
56	Ti wail_ a m_h_n	They brought the food		2252	
56	I lil_ a ngi navoe	He went with his money		2312	
56	I gbeil_ a piela	He stopped doing it		2552	
56	I to_tonga a w__la	He has started crying		2612	
56	Gbe a y__la	Stop laughing		2668	
56	Tii loni a bie	They don't like you		2900	
56	Baa la a ngie	Don't believe him		2960	
56	Nya long_ a tie	I like them		3016	
56	Mu kp_l_ mulil_ k_leke J_n	We all went except John		3252	
56	Nge pie k_leke bi nya pawa	I can't do it except you pay me		3304	
57	"Kini, bia ba gb_ yenge l_ wie?"	"Hello youngman, what work do you do?"		724	
57	Nga nungaal_ gaa a ny_ mak_lei	I teach people fish farming		840	
57	Ba ye ti mak_?	How is fish farming done?		1020	
57	"Numu ba dowei l_ b_ kpeteihun, bi hungbua fo"	You should dig a pond in swamp and clear it completely		1084	
57	Ye dowei a ye lakpa?	How large should the pond be?		1324	
57	Ye gaami a wie l_ sia ny_k_ paa ji ma na. Tawa b_ma mahug_ ye kpetei ji jei i y_hun wati gbi	I should be about the size of this palour. It should also contain water always		1440	
57	Mindo_ ba ny_ngaa maj_ na puva ye dowei hun?	Where do you get this fish from to put in the pond?		1792	
57	Ny_ leengaal_ ndo_ jihun kpoto. Ny_ mak_blaa ye pekeisia ta ti majia gb_ma	There are fingerlings throughout this country. Other fish farmers also sell them		1904	
57	Gb__ ba fe tu_ m__ va?	What do you give them to eat?		2196	
57	"Ba ti g__ a mba gei, ngiingaa, joyolaa, nika kpoi b_si kpoi, k__ je kpoi b__"	"Feed them with rice bran, termites, coow dung, pig dung, potato leaves and even excreta of sheep"		2316	
57	Ta gau lol_ l_ wumbu pen numu a ya ti m__?	How many months do they take before one eats them?		2612	
57	Ta gau naani l_ wumbu	They take four months		2784	
57	Bia bi ngiig_ la k_ liloma hinda l_?	Do you think this is a reliable venture?		2904	
57	Hinda yekpe l_ numu kp_l_va	This is a good thing for everyone		3016	
57	K_ nya b_ ngi tatoma a ny_gaa make la	Then I am also going to start fish farming		3192	
57	Nga gohun a n__ gb_va bi ma	I will be very happy to help you		3308	
59	Ny_ make lei man_ng_	Fish farming is good		432	
59	Nyandeng_ nyi m_va watigbi	It's good to eat fish always		484	
59	Bi log_ bi gaa a ny_ yengei?	Do you want to learn fish work?		548	
59	Nge gb_l_ bi ma ye ngegei gaa va	I will help you to learn the work		664	
60	Tisa buwae	Good morning teacher		1588	
60	Kini buwae bi si_ gb_ jia a bie?	"Good morning sir, how are you what is your mission?"		1648	
60	Ngi wa nye loi l_ hinda hungb_ ma	I've come to enquire about my child		1842	
60	A gb_	What for		1940	
60	Sia ngi yehelokoi na sukuihun	About his progress and behaviour in school		2056	
60	Bi loi biyei?	What is your child's name?		2172	
60	Ngi laa Buakei Same	His name is Bockarie Sama		2288	
60	"Oo! Ngi ngi g__l_, I nya klasihunl_"	"Ah! I know him, he is in my class"		2348	
60	Ngi nemahun le ng_	He is very clever		2460	
60	K_ a s_i waa glua klasihun.	But he is very playful in class		2524	
60	Nya pen ng_ gii hung_ va a bie k__ bi ngi lahin	Infact I was thinking of telling you so that you will warn him		2644	
60	"Tisa bi si_ ka na le ma na, nya logoi bi kp_ma y_ nya ma ye hindei ngihun, gb_va ndoi ta numu yila woo ii le. Ya yama lawo ngi ma nahin a we I luwa"	"Thank you very much, teacher, only that I want you to help me with this matter because a child does not belong to one person. Always keep an eye on him so that he can have some fear"		2872	
62	Pa kulugoi ye ngaa	O.k. sir		352	
62	Ngaa mua bie g_yia le? Nga yaa na a ngi yaab_	I hope it is a compromise between us. I will now keep watching him		412	
62	K_ tamia tisa	O.k. see you teacher		644	
62	Ba ya a foo nyama	Please be visiting me		712	
62	E-ye k_ mal_	Alright. See you		768	
62	Gbe a ngendei	What is your mission this morning?		1060	
62	Gb_ va	What for		1120	
62	Nya loi l_ kaa madihuma?	Is my child serious over his work?		1416	
62	A waa suku wati gbi?	Does he come to school always?		1528	
62	Wua wu dei we ti wa a navo?	Did you ask them to bring money?		1588	
62	Ngi wa nya loi hunveima	I have come to obtain permision for my child		1696	
62	Bi loi ju yukpa g_ wa	Your child is very troublesome		1816	
62	Bi loi ii baa g__ numugbima	Your child has no respect for anyone		1880	
62	Bi loi l_ wa ko_ madihuma	Your child is very hard working/studies hard		1996	
62	Ya pie I ya humbu a wa sukuihun	See that he always comes to school very early		2112	
62	Bukui la tebii ma	Put the book on the table		2932	
62	Buakei l_ p__ woma	Bockarie is behind the house		2988	
62	Nda nya gul_	Put it infront of me		3052	
62	Too ngi yakama	Place it by his side		3108	
63	Glanga	Near		392	
63	Mahun	Top/upon		452	
63	Mbu	In/into/under		508	
63	Nduahun	Between		572	
63	Nga	On/at/in/from		632	
63	Kakahun	Side		696	
63	Gul_	Infront		752	
63	Kohun	Inside		392	
63	Nda	At		452	
63	W_/vaa	For		508	
63	Ndia	Between/middle/among		572	
63	Hun	In/from/to		632	
63	Woma	Behind		696	
63	Va	Of/for/to in infinitive mood		752	
63	Tia kpaahun	They are in the farm		1172	
63	Sao gbuaa kpaahun	Sao has come from the farm		1224	
63	Mu li kpaahun	Let us go to the farm		1284	
63	Nya nyahei l_ p__ bu	My wife is in the house		1580	
63	Baa li la p__ bu	Don't take it into the house		1648	
63	Ngi gb_ p__ bu	Drive him from the house		1700	
63	G_n_ l_ tibii bu	The cat is under the table		1760	
65	"Jo, ndake galu lol_ mia foihun?"	"Joe, how many months are there in a year?"		736	
65	Ngalu puumahun fele mia foihun	There are twelve months in a year		856	
65	Ba gul_ bi ti laagbawa M_nde yeihun?	Can you name them in Mende?		1036	
65	__	Yes		1156	
65	K_ ti laa g_ a ng_	Then please show them to me		1272	
65	Wolo panda hoe	Listen carefully		1332	
65	"Nga wolo ma, k_ ba nde l_ maleig_"	"I'm listening, but please say it slowly"		1456	
65	P_gbaa	January		1572	
65	Vui	February		1632	
65	Nyaw_lii	March		1684	
65	Buwui	April		1744	
65	Gooli	May		1804	
65	Su_ju_i	June		1872	
65	Nan_i	July		1924	
65	Dawii	August		1984	
65	Saai	September		2040	
65	Galoi	October		2096	
65	Lugbuyawui	November		2164	
65	Pondoi	December		2216	
65	Bi si_ ka	Thank you very much		2332	
65	Fo lol_ mia hoki yilahun?	How many days are there in a week?		2628	
65	Fo w_fila mia hoki yilahun	There are seven days in a week		2740	
65	T_n_	Monday		2864	
65	Taalata	Tuesday		2920	
65	Araba	Wednesday		2976	
65	Aikamisa	Thursday		3036	
65	Aijuma	Friday		3092	
65	Sibiti	Saturday		3144	
65	Lahadi	Sunday		3208	
66	Kini _m_ buaa-e	Hello Mr Momoh		636	
66	"Mm, ndiam_ bi si_"	Hello friend		696	
66	"I yena, migbe mia bi kpete yehei latoma?"	How is it: when are you starting the swamp work?		808	
66	Wati hintiama. Bia naalee ngi bi mawulo ma k_ bi nya lo pema	It's already time. I'm only waiting for you to give me some advice on the work		932	
66	"K_ ba lil_ naa bi kpetei lue, bi gaayia, ki bi pujaa. Pen ba ya tato ba mbei saanil_, nahineve aa y_ bi kp_y_ a bi gbetei wuja la mbei gug_ a y_lanaa hin va"	"You can now go ahead and brush your swamp, clear it and dig it. Before starting, you will be ready for transplanting by the time you finish digging your swamp"		1164	
66	Ba nya ng__ a mba huun wul_	Will you give me some?		1700	
66	Gbei mba huun gbii bi yeya?	Why don't you have some?		1872	
66	__	Yes		1992	
66	K_ wa sina nga bi gb__ a mba huin	"Then come tomorrow, I'll give you some"		2108	
66	"E-ye, k_ nya sina wama"	"O.k. then, I'll come tomorrow"		2224	
66	Kini _m_ bianaa	Afternoof Mr Momoh		2576	
66	S_mb_j_mui bi ye luvei?	How is the day bigman?		2632	
66	Nya l__ d_d_ma. Bi ye g_lia a kpete yegei?	I'm managing. How far have you gone with the swamp work?		2808	
66	"Mbei vaigoi naa, sina yekei mia nga taato a hinla. Kpetei kp__ wuja goi naa"	The rice has already germinated I'll start transplanting the day after tomorrow. The swamp is already dug		2984	
67	Bi nja we leil_ pl_tisia ti luahun?	Did you make drainages in-between the plots?		248	
67	"__, sia le g_ bi hung_i la a nge"	"Yes, just as you instructed me the last time"		368	
67	"K_ nya sina wama ngi kpeteihun l_. Bi ya mbei hinma, ba ti lootoo waa gblagblaga"	"Then I'll be coming tomorrow to see the swamp. When transplanting the rice, do not cluster them together"		544	
67	_ bia vui l_ sina wa ma bi na l_?	I suppose you'll be coming tomorrow to see there yourself		788	
67	__	Yes		1028	
67	K_ ba nya malel_	Then you will meet me		1088	
67	Mua l_	We shall see		1144	
67	Bembei	Fishing net		1448	
67	Bumbui	Fishing Trap		1500	
67	Due	Brush		1564	
67	Due kpe	Brushing time		1624	
67	F_lei	Winnowing time		1684	
67	Gaaga kpe	Time for clearing after burning		1744	
67	Hambui	An object made of wire hung over fire for drying fish or meat		1800	
67	Kali	Hoe		1912	
67	Kondei	Mortar		1972	
67	Koni	Axe		2036	
67	K_boi	Mat (made out of bamboo)		2092	
67	Kpakai	Three legged wooden chair typical of Mends - used especially on farms		2148	
67	Kpasei	Circular object used for climbing palm trees		2332	
67	Kpangbei	Broom		2436	
67	Kpawei	Forked stick		2504	
67	Kpuloi	Gourd/keg		2564	
67	Kpoe	Farm house		2624	
67	Lavulei	Sling used for scaring birds		2680	
67	Mbahui	Seed rice		2740	
67	Mbowei	Knife		2796	
67	Mbale bowei	Sickle/knife used for cutting rice		2856	
67	Ndoi bowei	Brushing knife		2976	
67	Mbogbei	Cutlass		3032	
67	P_ bogbei	Cutlass for cutting down trees		3092	
67	Nd_gboi	Bush		3148	
67	Ndoli	Hook		3212	
67	Ng_mbui	Fire		3268	
67	Piyei	Container for putting fish while fishing		3324	
68	P_ kpee	Time for cutting down large trees/felling time		444	
68	Kpaa m_ wati	Burning time		564	
68	Mbawa kpee	Ploughing time		624	
68	Gugbia kpee	Weeding time		688	
68	Mbale kpee	Harvest season		740	
68	M_tu kpee	Period of waiting for first rain before ploughing		796	
68	Mba wufoi	Newly ploughed land		916	
68	Mba vai	Germinated rice		976	
68	Lobai	Unploughed land		1040	
68	Glangle	Gathering and clearing of unburnt shrubs		1100	
69	Nyahagaa ti lol_ bi yeya?	How many wives have you		408	
69	Nya nyahin yakpe	I have only one wife		476	
69	Nya nyahangaa ti l__lu	I have five wives		772	
69	Nya nyahin haa vonu	My wife died last year		832	
69	Nya nyahin ii ya ndo lei	My wife hasn't a child yet		888	
69	Nya legaa ti nge l_	This is my chilldren's mother		948	
69	Nyaha ii nya yeya l_	I don't have a wife yet		1068	
70	Kini Bl_ma biana	Goodday Mr Brima		404	
70	"Mm, ndiam_ bi si_"	"Yes, goodday friend"		468	
70	Wa mu m_h_n m__	Come and let's eat		524	
70	"_n_n, ndake na gbat_goi na"	O.k. I'm alright now/I'm fed		636	
70	"Ndake, wa b_ h_ bi kulo m_"	"Man, come and have a bit at least"		760	
70	"T_nya mia, k_ ndake genda m_h_n mia ha ngi mia, ye kove mia nya ma. K_n_ le I ye a wati yeka"	"That's true, but man, I have eaten some morning food today and I'm still fed. Please let it be another time"		944	
70	"Mm, ngi hum_inga ye"	O.k. I've heard you		1240	
70	K_ gb_ ngi fo teihun nya wama	"Let me go to town, I'll be back"		1352	
70	"E-ye, mal_"	O.k. see you		1468	
70	Nya govengoi	I'm alright/I'm fed		1768	
70	Nya foma teihun ngi wa	I'm going to town and back		1824	
70	T_kop_p_	Taking food with your hands at a faster rate		2116	
70	Kavei	Taking too much food at one go		2232	
70	Bi liing_ wa	You are gluttinous		2292	
70	Bi laming_ wa	You are gluttinous		2348	
70	Bi hataig_	You are gluttinous		2412	
70	Bi m_h_nhindago	You are gluttinous (never satisfied with food)		2464	
70	Bi n_h_ng_ wa	You like to stand by for people's food		2580	
70	Bi vofulang_	You are voracious		2640	
75	B_ buaa	Hello friend		1136	
75	"Mm, nyande bi si_"	Hello madam		1196	
75	Bi ye gbua ma?	Where are you coming from?		1316	
75	Ngi gbua Sel_n l_	I'm coming from Freetown		1376	
75	Gb_va na?	How are things there?		1492	
75	Ngi ye nyamu lui na	Not bad		1548	
75	_ nya yoyoi?	What did you bring for me?		1672	
75	Bia yeso nya gl_gbatei ve l_	Give me first what you kept for me		1732	
75	Gb_ va?	Why?		1904	
75	Kul_ gbat_ l_ a joyo gbua	What is kept for someone encourages him to offer gifts		1964	
75	K_ gb_ ngi ya a k_k_oi	Then let me be finding it		2200	
75	Nya b_ nga ya a joyoi g_k_oi	I will also be looking out for your gift		2256	
75	E-ye	O.k.		2432	
75	Ye nyamu ii na	Not bad		2728	
75	Gb_ bi nya yoyoi la?	What did you bring for me		2784	
75	Gb__ ngi ya nd_l_	Let me be finding it		2844	
76	Migbe mia ba wa?	When will you come back?		436	
76	Migbe mia ba yama?	When will you be returning?		500	
76	Migbe mia ba li?	When will you go?		552	
76	Migbe mia bi lima?	When will you be going?		616	
76	Sina yekei mia ngi lima	I shall be going on the day after tomorrow		736	
76	Sina yekei mia ngi li	I shall go on the ay after tomorrow		856	
76	Gbegi yekei mia mgi wani	I came on the day after yesterday		972	
76	Ngi gbua le Makali l_	I am just coming from Makali		1092	
76	Nya h_ndei nyanil_ ji ngi ye wama	My honda brokedown when I was coming		1148	
76	M_toi nyanil_ a mue	Our vehicle brokedown		1268	
84	Gb_ ngi wa	Wait till I come		536	
84	Nya mawo kulo	Wait for me a little		600	
84	Wa mui	Come let's go		656	
84	Ngi wa mui?	Shall I come with you?		716	
84	Ndi mia bi pie ma?	Are you going?		772	
84	Bi ya nga va ngi ma hoe	When you go extend my greetings to him/her		832	
84	Bi totoa a m_h__ yiila?	Have you started cooking the food?		956	
84	Njei ji a gul_ bi va	Will this water be enough for you?		1068	
84	Bi ya g_ mil_?	Where did you go recently		1184	
84	W__gba ngi ya foi na	I have never been there		1240	
84	Saange mia ngi gbua na	I have just left there		1300	
84	Ngii ya ha a ngi loi	I have not seen him today		1360	
84	P_l l_ mbi?	Is Paul here?		1419	
84	Hiye na	Get up from there		1477	
84	A gbua gitiya	Go outside all of you		1536	
84	Baa luwa nya ma	Don't be afraid of me		1594	
84	Baa w__	nya ma		1653	
84	A longo	Be quiet		1711	
84	Gbe nya ma	Leave me alone		1770	
84	Baa nya vawei	Do not disturb me		1828	
84	Baa nd__ gula nya ma	Don't lie on me		1887	
84	Bii makei	You have no manners		1945	
84	Hei panda	Sit carefully/sit properly		2004	
84	Ngi lima a g__ma wel_	I am going on foot		2062	
84	Nya long_ a ye pekei	I want the other one		2121	
84	Waa a peka	Bring another one		2179	
84	Ii na	He/she/it is not there		2238	
84	Taa na	He/she/it is there		2296	
84	Lampoi longa	Light the lamp/lantern		2355	
84	K_l_ ngi t_	Let me see it		2413	
84	K_nl_le nde gb_ma	Please say it again		2472	
84	Ti g_ a nge	Show them to me		2530	
84	Bi hum_nga?	Have you understood?		2589	
84	Yembui a gb__?	What is its meaning?		2647	
84	Ta ye boi ji loi M_nde yie hun	How is this called in Mende		2706	
84	Bia ii le/Bia ya na	Not you		2764	
84	Bii ya kp_yoi l_?	Haven't you finished it yet?		2823	
84	Ngi kp_y_a	I have finished (it)		2881	
84	Ti bi lei mi l_?	Where were you born?		2940	
84	Wa mbe kaka	Come here quickly		2998	
84	Wu k_k_ yakpe?	Do you have the same father?		3057	
84	Nji main l_ nya ma	I am sleepy		3115	
84	Nja gb_emei l_ nya ma	I am thirsty		3174	
84	Wa a njei ngi kpoe	Bring me some water to drink		3232	
84	Wa a njei ngi mua	Bring me some water to bathe		3291	
84	Baa lema ba	Don't forget it		3349	
84	Baa lema nya ma	Don't forget me		3408	
85	Baa nde nuu gbi ma	Don't tell anyone		316	
85	Baa ngi lee	Don’t beat him		380	
85	"Baa nyani, fe mb_"	"Don't spoil it, give it to me"		440	
85	Baa nya n_mu	Don't wound me		556	
85	Baa kputa	Dont't burst it		616	
85	Baa mb_	Don't dig it		675	
85	Baa nya loi a pumoi	Don't call me whiteman		735	
85	Nya la yana	That's not my name		794	
85	K_n_le mavula	Please hurry up		854	
85	Ba jaa la	Don't touch it		914	
85	Baa yaa gbiti ma	Don't touch it again		973	
85	Baa ngeya	Don't buy it		1033	
85	Baa li na	Don't go there		1092	
85	Wa bi lo nya gul_	Come and stand in front of me		1152	
85	I ye na?	How is it?		1272	
85	Wasi y_ gb_	What time is it?		1332	
85	Gb_ le?	What is it?		1391	
85	Bi t_a?	Have you seen it?		1451	
85	Nya gbe	Here I am/Look at me		1510	
85	Nga ye pie?	How can I do it?		1570	
85	Ndomei na b_ng_ bi ma	That shirt suits you		1629	
85	Ngi lii nyaning_ na va	He is sad for that		1689	
85	M_ndem_ mia bui a bie?	Are you a true Mende man?		1748	
85	Mua ta mu l_a ha	We have seen each other today		1808	
85	We kp__ ii le (yana)	Not all of us		1924	
85	Mu venj_ kp__	Both of us		1982	
85	Yek_l_mayei	The last one		2039	
85	Yesembei	The big one		2097	
85	Yehaal_yei	The first one		2155	
85	Ndondoi l_ nya ma	I am feeling hot		2213	
85	Ngi nyahei l_ koihun	His wife is pregnant		2270	
85	Mu li baa la	Let's go to the bar		2328	
86	Dii	Heart		516	
86	G_w_hini	Big toe		576	
86	Gombui	Lower part of belly		636	
86	Gbatoi	Back teeth		756	
86	Hamei	Hip/waist		815	
86	Hok pui	Navel		874	
86	Kakei (yakei)	Rib		934	
86	K_we (gowe)	Foot/leg		993	
86	Kpaki	Shoulder/upper arm		1052	
86	Kp_le	Beard		1168	
86	Kp_ni	Penis		1227	
86	Lagui	Lip		1286	
86	Lokoyui	Finger		1344	
86	Mbulei	Neck		1403	
86	Ngami	"Face, eye"		1462	
86	Ngombi	Knee		1521	
86	Njombui	Hair of body		1579	
86	Ngundiei	Hair of head		1638	
86	Ndate (late)	Vein		1697	
86	Ny_ni	Liver		1756	
86	Ngoli	Ear		1814	
86	K_le	Skin		1873	
86	Tokoi	Hand		1932	
86	Ngotui	Buttocks		1991	
86	Pomei (womei)	Back		2049	
86	Yakei	Side		2108	
86	Dihun galei	Backbone		528	
86	G_w_w_ma late	Tendon at back of foot		588	
86	G_w_yui	Toe		708	
86	Gbowi	Ankle		767	
86	Hakai	Calf		826	
86	J_v_tei	Testicles		884	
86	Kale (gale)	Backbone		943	
86	K_w_lokoi	Left hand		1002	
86	Kpale	Thigh		1061	
86	Kpambui	Armpit		1119	
86	Kp_ni	Brain		1178	
86	Kp_kp_e	Chin		1237	
86	Lokov_le	Palm		1296	
86	Lokohini	Thumb		1354	
86	Mbule	Penis		1413	
86	Ngama gbekei	Eyebrow/eyelash		1472	
86	Ngengalui	Fingernail		1592	
86	Ndenge	Pubic Hair		1650	
86	Ng_nge	Back of the head		1708	
86	Nyini	Breasts		1766	
86	N_koi	Elbow		1824	
86	K_w_digbi	Heel		1882	
86	Koi/goi	Belly		1940	
86	Yejalokoi	Right hand		1998	
